InputStoryid,context,question,y,y_hat
0932cb74-8265-44a3-ad1e-53975f3ee80c,"Marcy wondered about the kids. She had been in the kitchen and hadn't heard them in awhile. Usually, when the kids were quiet, they were getting into something. Marcy looked in the bedrooms and didn't see them.","Which of these fragments concludes the story in a coherent way? 
1. She found them in the living room reading and was relieved. 
2. The children were in the kitchen eating lunch.",1,1
a77d6cba-d46b-4801-bb5c-70fc0b97800d,Juan wanted to be a luchador. He grew up watching them on television. He practiced every day in the basement. Eventually he got added to small shows.,"Which of these fragments concludes the story in a coherent way? 
1. Juan decided that being  luchador was a stupid aspiration. 
2. Juan was very successful eventually.",2,2
4527bb6a-c109-434b-bf49-dffe2874b903,A man ordered pancakes in a diner from the server. She brought him a plate of pancakes minutes later. The man complained that the pancakes were too thick. The server brought them back to the cook.,"Which of these fragments concludes the story in a coherent way? 
1. The cook praised him. 
2. The cook decided to remake the pancakes.",2,2
773e400c-9ba6-4aa0-9299-10253cac009f,"Gina was using a restroom at a gas station. She went to wash her hands, but there was no soap. She looked in the cabinet under the sink hoping to find some. There was no soap there either.","Which of these fragments concludes the story in a coherent way? 
1. Gina stole al the soap that was in the bathroom. 
2. So she had to settle for rinsing her hands off.",2,2
fa0cba9c-0e7b-412e-a5ef-08065139b2dc,Sam's parents were out for the weekend. He decided to host a party. Many people came. The partiers ended up trashing the house.,"Which of these fragments concludes the story in a coherent way? 
1. Sam's parents were upset they had missed the fun. 
2. Sam was in real trouble.",2,2
defdaf3f-b580-4c4f-a320-a798a52ac508,Gina whispered to Mary in detention. The girls giggled together. Gina could tell the teacher wasn't pleased. They continued to whisper.,"Which of these fragments concludes the story in a coherent way? 
1. The teacher told them to stop talking. 
2. The teacher joined their conversation.",1,1
056235a2-84cd-4c99-9652-1e0773797143,"Bob's stomach was really bothering him after the big meal. A friend he had dined with called to say she was feeling ill, too. They decided the seafood they'd eaten had been bad. Sometime later, Bob finally threw up the contents of his stomach.","Which of these fragments concludes the story in a coherent way? 
1. Bob will be careful that he never eats at that restaurant again. 
2. Bob's decision to embezzle from his employer was a mistake.",1,1
54804420-28ad-4197-ba66-c1f301f8e4a5,Abigail keeps a strict schedule. She takes a walk in the morning and at night. She walks for about 30 minutes at a time around the neighborhood. Sometimes she even takes her dog Dexter.,"Which of these fragments concludes the story in a coherent way? 
1. And so Abigail was able to lose a lot of weight. 
2. Abigail climbed off her wheelchair and onto the bed.",1,
4a4ba70e-d51c-4574-b3f1-42675bef0059,"Ryan was at a park. And he saw a little girl holding a balloon. As he was leaving the park, he saw the same balloon stuck in a tree. He climbed the tree to retrieve the balloon.","Which of these fragments concludes the story in a coherent way? 
1. Ryan then popped the balloon on purpose. 
2. Ryan then found the girl and gave her the balloon she lost.",2,2
20eba2e4-0a0a-4595-8e17-5d1c9adb3a40,"Jess hated egg salad. When her friend's mother served it, she knew she had to eat it. Just as she was about to take a bite the family dog walked by. No one was looking so she lowered it towards the dog.","Which of these fragments concludes the story in a coherent way? 
1. The dog happily ate the salad. 
2. Jess decided to make egg salad.",1,1
e4df84be-6c8d-4271-93d8-73999aab7fef,Doug's wife was upset with him. As a way to ask forgiveness he decided to buy her a new car battery. He changed it out and made sure her car was working properly. She appreciated the gesture.,"Which of these fragments concludes the story in a coherent way? 
1. Doug's wife kissed him. 
2. Doug's wife was angry.",1,1
3e5bcf32-ac88-425d-9d33-f9dea0a8a62a,Last week my girlfriend and I bought three lottery tickets. It's not something we normally do. We were desperate for money. Even a long shot was worth it.,"Which of these fragments concludes the story in a coherent way? 
1. We decided to go to the zoo. 
2. We were happy to win a small amount of money from the tickets.",2,
91143c2a-eb2c-4524-8ff5-98c06aa46da2,Joe was helping his dad clear the woods in the back of their yard. All of a sudden he heard loud buzzing. He had stirred up a bee's nest. He got stung six times before he could escape.,"Which of these fragments concludes the story in a coherent way? 
1. Joe laughed about the experience. 
2. Joe was angry he got hurt.",2,2
06ccc957-8b69-4d71-8f6f-4fb686041e5a,Lonnie was trying to figure out what majors to take in college. He knew that his end goal was to be a teacher. He asked the career counselor for advice. The counselor gave him a list of prerequisites.,"Which of these fragments concludes the story in a coherent way? 
1. Lonnie finally decided to go into education. 
2. Lonnie threw the list away.",1,1
a8281cdb-5cfa-4afe-99aa-915110c0162f,"A man named Pete got off of work. After work, he drove to the gym. He went into the gym and found a workout machine. While working out, Pete worked up a sweat.","Which of these fragments concludes the story in a coherent way? 
1. He showered after he finished working out. 
2. Pete went to the baseball stadium.",1,1
4ea69358-703b-4256-8d35-b0db9a455ec2,"Neil took a flight into Bangkok. He walked around to see the sights. There were so many delicious local foods! And the souvenirs were wonderful, too!","Which of these fragments concludes the story in a coherent way? 
1. Neil stayed some extra days in Bangkok because of all the fun. 
2. Neil decided he never wanted to go to Bangkok again.",1,1
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,"Rick grew up in a troubled household. He never found good support in family, and turned to gangs. It wasn't long before Rick got shot in a robbery. The incident caused him to turn a new leaf.","Which of these fragments concludes the story in a coherent way? 
1. He is happy now. 
2. He joined a gang.",1,1
57d1f6e1-cdbc-4df6-9841-5dba89d3e63e,"Jeremy's mother didn't approve of his lifestyle. When he was 21, Jeremy decided to move out. He found an apartment in a nearby state with a new job. After several Years he cleaned up, and finances his own life.","Which of these fragments concludes the story in a coherent way? 
1. Jeremy had to move back in with his mother. 
2. Jeremy enjoyed being more responsible.",2,1
56102300-2ba9-4b64-a603-9d42dc107d36,"My dog waited for me by the house front door. We walked to the park for playtime and exercise. The dog and I walked around the block before returning home. When we walked through the front door, she took a big drink of water.","Which of these fragments concludes the story in a coherent way? 
1. Then she lay down and took a nap. 
2. She was jumping up and down begging for a walk.",1,1
a2628347-52a4-44f5-a750-fefddf04a375,"Ken met a nice man online, and they decided to go on a date. They met at a nice restaurant and shook hands. Ken and his date ordered food and had small talk. While they ate, Ken decided that he really liked the man.","Which of these fragments concludes the story in a coherent way? 
1. Ken made an excuse to leave quickly. 
2. Ken asked him for a second date.",2,2
dce8a563-9c78-4ace-8ca1-3e1b6fd2b1b6,Todd and Ashley were dating. Todd got irritated with Ashley. He gave her the silent treatment. Ashley got upset.,"Which of these fragments concludes the story in a coherent way? 
1. She was mad because Todd wouldn't stop talking. 
2. She decided not to speak to Todd either.",2,2
5803a261-2dd1-4156-bceb-c81fca0ca1b9,Shay went to the marine park. There she saw a sign advertising dolphin swims. Shay eagerly handed over her $40 and suited up. Then she jumped in the pool to swim with the dolphins.,"Which of these fragments concludes the story in a coherent way? 
1. Shay had a great time. 
2. Shay really didn't like dolphins.",1,1
642a4773-0c58-41c4-85ed-c9544b642ded,"Ray went to a friend's house for a sleepover. He realized that he'd forgotten his toothbrush. He was unable to brush his teeth! Ray tried to use toothpaste on his finger, but it was no use.","Which of these fragments concludes the story in a coherent way? 
1. Finally, Ray  asked his friend if he had a spare toothbrush. 
2. Ray did a good job brushing his teeth.",1,1
eb534ad9-b837-42b2-9d9f-863d22de6183,"One man bet another that he could outstare a duck. A duck was found and stared at. Although the duck was unaware of what was happening, it did not blink. It did, however, wet its eyes with its nictitating membrane.","Which of these fragments concludes the story in a coherent way? 
1. The man eventually blinked. 
2. The man wanted to lose his bet.",1,1
002af9dc-dadd-496e-8b5f-c89bebc1fdb1,"Cindy was at a restaurant. And she ordered hot soup. But the waitress forgot to tell her that the bowl was hot. So when received the bowl from the waitress, she hurt her hands.","Which of these fragments concludes the story in a coherent way? 
1. Cindy went and ran cold water over her hands. 
2. Cindy continued holding the soup.",1,1
